Species,SPLIT,ID,SMILES,logki,source
A,1,1,CSP(=O)(c1ccccc1)c2ccccc2,2.34,a
A,1,2,O=P(SCC)(c1ccccc1)c2ccccc2,2.69,a
A,1,3,O=P(SCCC)(c1ccccc1)c2ccccc2,3.08,a
A,1,4,O=P(SCCCC)(c1ccccc1)c2ccccc2,3.4,a
A,1,5,O=P(SCCCCC)(c1ccccc1)c2ccccc2,3.66,a
A,1,6,O=P(SCCCCCC)(c1ccccc1)c2ccccc2,3.76,a
A,1,7,O=P(SC(C)C)(c1ccccc1)c2ccccc2,1.48,a
A,1,8,O=P(SC(C)CC)(c1ccccc1)c2ccccc2,1.7,a
A,1,9,O=P(SC(CC)CC)(c1ccccc1)c2ccccc2,1.85,a
A,1,10,O=P(SCCSC)(OCC)c1ccccc1,4.79,a
A,1,11,O=P(SCCSCC)(OCC)c1ccccc1,4.49,a
A,1,11,O=P(SCCSCC)(OCC)c1ccccc1,4.49,d
A,1,12,O=P(SCCSCCC)(OCC)c1ccccc1,4.41,a
A,1,13,O=P(SCCSCCCC)(OCC)c1ccccc1,5.36,a
A,1,13,O=P(SCCSCCCC)(OCC)c1ccccc1,4.37,b
A,1,14,O=P(SCCSCCCCC)(OCC)c1ccccc1,4.85,a
A,1,15,O=P(SCCSCCCCCC)(OCC)c1ccccc1,4.23,a
A,1,16,O=P(SCC[S+](C)C)(OCC)c1ccccc1,8.18,a
A,1,17,CC[S+](C)CCSP(=O)(OCC)c1ccccc1,7.88,a
A,1,18,O=P(SCC[S+](CCC)C)(OCC)c1ccccc1,8.04,a
A,1,19,O=P(SCC[S+](CCCC)C)(OCC)c1ccccc1,7.76,a
A,1,20,O=P(SCC[S+](CCCCC)C)(OCC)c1ccccc1,8.08,a
A,1,21,O=P(SCC[S+](CCCCCC)C)(OCC)c1ccccc1,8.15,a
A,1,22,O=P(SCCSC)(OCCC)c1ccccc1,4.74,a
A,1,23,O=P(SCCSC)(OCCCC)c1ccccc1,5.18,a
A,1,24,O=P(SCCSC)(OCCCCC)c1ccccc1,5.23,a
A,1,25,O=P(SCCSC)(OCCCCCC)c1ccccc1,5.28,a
A,1,26,O=P(SCC[S+](C)C)(OCCC)c1ccccc1,7.74,a
A,1,27,O=P(SCC[S+](C)C)(OCCCC)c1ccccc1,8.38,a
A,1,28,O=P(SCC[S+](C)C)(OCCCCC)c1ccccc1,8.3,a
A,1,29,O=P(SCC[S+](C)C)(OCCCCCC)c1ccccc1,8.08,a
A,1,30,O=P(OSC)(OCC)c1ccccc1,2.46,a
A,1,31,O=P(OSCC)(OCC)c1ccccc1,2.58,a
A,1,32,O=P(OSCCC)(OCC)c1ccccc1,2.41,a
A,1,33,O=P(OSCCCC)(OCC)c1ccccc1,2.76,a
A,1,34,O=P(OSCCCCC)(OCC)c1ccccc1,3.06,a
A,1,35,O=P(OSCCCCCC)(OCC)c1ccccc1,3.32,a
A,1,36,O=P(SCCSCC)(OCC)C1CCCCC1,2.18,a
A,1,37,O=P(SCCSCCC)(OCC)C1CCCCC1,2.45,a
A,1,38,O=P(SCCSCCCC)(OCC)C1CCCCC1,2.6,a
A,1,39,O=P(SCCSCCCCC)(OCC)C1CCCCC1,2.46,a
A,1,40,O=P(SCCSCCCCCC)(OCC)C1CCCCC1,3.18,a
A,1,41,O=P(SCCSCCCCCCC)(OCC)C1CCCCC1,2.92,a
A,1,42,O=P(SCCSCCCCCCCC)(OCC)C1CCCCC1,2.98,a
A,1,43,O=P(SCCSCCCCCCCCC)(OCC)C1CCCCC1,3.18,a
A,1,44,O=P(SCC[S+](c1ccccc1)C)(OCC)C2CCCCC2,5,a
A,1,45,O=P(SCC[S+](C)c1ccccc1)(OCC)C2CCCCC2,4.85,a
A,1,46,O=P(SCC[S+](CCCC)C)(OCC)C1CCCCC1,5.04,a
A,1,47,O=P(OCC)(SCC[S+](C)C1CCCCC1)C2CCCCC2,5.52,a
A,1,48,O=P(SCC[S+](CCCCCC)C)(OCC)C1CCCCC1,5.97,a
A,1,49,O=P(SCC[S+](CCCCCCC)C)(OCC)C1CCCCC1,6,a
A,1,50,O=P(SCC[S+](CCCCCCCC)C)(OCC)C1CCCCC1,6.08,a
A,1,51,O=P(SCC[S+](CCCCCCCCC)C)(OCC)C1CCCCC1,5.45,a
A,1,52,O=P(SCCSCC)(Cc1ccccc1)OCC,4.18,a
A,1,53,O=P(SCCSCCC)(OCC)Cc1ccccc1,4.41,a
A,1,54,O=P(SCCSCCCC)(OCC)Cc1ccccc1,4.46,a
A,1,55,O=P(SCCSCCCCC)(OCC)Cc1ccccc1,4.11,a
A,1,56,O=P(SCCSCCCCCC)(OCC)Cc1ccccc1,4.52,a
A,1,57,O=P(SCCSCCCCCCC)(OCC)Cc1ccccc1,5.32,a
A,1,58,O=P(SCCSCCCCCCCC)(OCC)Cc1ccccc1,5.34,a
A,1,59,O=P(SCCSCCCCCCCCC)(OCC)Cc1ccccc1,5.38,a
A,1,60,O=P(SCC[S+](CC)C)(OCC)Cc1ccccc1,7,a
A,1,61,O=P(SCC[S+](CCC)C)(OCC)Cc1ccccc1,6.91,a
